종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2021
3240,태광산업 ,982000,34000,3.59,125727,7.81,2969365,0.33,1550,0.16,,
3280,흥아해운 ,2775,-30,-1.07,,,,,0,0,,
3300,한일홀딩스 ,13300,100,0.76,1677,7.93,46221,0.29,510,3.83,,
3310,대주산업 ,2195,80,3.78,98,22.4,1530,1.43,35,1.59,,
3350,한국화장품제조 ,27400,0,0,,,9768,2.81,0,0,,
3380,하림지주 ,9850,-300,-2.96,725,13.59,18343,0.54,50,0.51,,
3410,쌍용C&E ,7760,10,0.13,275,28.22,3353,2.31,440,5.67,,
3460,유화증권 ,2785,0,0,83,33.55,6358,0.44,110,3.95,,
3465,유화증권우 ,2780,-15,-0.54,,,,,120,4.32,,
3470,유안타증권 ,4270,-10,-0.23,500,8.54,6527,0.65,125,2.93,,
3475,유안타증권우 ,4235,-90,-2.08,,,,,175,4.13,,
3480,한진중공업홀딩스 ,4015,-35,-0.86,,,11160,0.36,0,0,,
3490,대한항공 ,28150,-500,-1.75,,,14181,1.99,0,0,,
3495,대한항공우 ,37950,-400,-1.04,,,,,0,0,,
3520,영진약품 ,4320,-60,-1.37,,,626,6.9,0,0,,
3530,한화투자증권 ,5550,120,2.21,307,18.08,5707,0.97,0,0,,
3535,한화투자증권우 ,13850,450,3.36,,,,,0,0,,
3540,대신증권 ,19900,-200,-1,2119,9.39,23605,0.84,1200,6.03,,
3545,대신증권우 ,17950,-200,-1.1,,,,,1250,6.96,,
3547,대신증권2우B ,17400,-100,-0.57,,,,,1200,6.9,,
3550,LG ,84600,-1900,-2.2,8338,10.15,115188,0.73,2500,2.96,,
3555,LG우 ,63800,0,0,,,,,2550,4,,
3560,IHQ ,1685,-25,-1.46,,,808,2.09,0,0,,
3570,SNT중공업 ,9060,-30,-0.33,329,27.54,17967,0.5,300,3.31,,
3580,넥스트사이언스 ,18550,350,1.92,,,2013,9.22,0,0,,
3610,방림 ,2930,-35,-1.18,128,22.89,4519,0.65,35,1.19,,
3620,쌍용차 ,2770,0,0,,,,,0,0,,
3650,미창석유 ,82000,400,0.49,12962,6.33,159298,0.51,2100,2.56,,
3670,포스코케미칼 ,163500,11000,7.21,455,359.34,15401,10.62,300,0.18,,
3680,한성기업 ,6100,-50,-0.81,400,15.25,8130,0.75,0,0,,
3690,코리안리 ,9880,10,0.1,1252,7.89,20403,0.48,450,4.55,,
3720,삼영화학 ,2910,20,0.69,6,485,1297,2.24,0,0,,
3780,진양산업 ,8050,60,0.75,395,20.38,3341,2.41,180,2.24,,
3800,에이스침대 ,42500,500,1.19,4811,8.83,45711,0.93,1100,2.59,,
3830,대한화섬 ,131500,0,0,14424,9.12,457234,0.29,410,0.31,,
3850,보령제약 ,14200,400,2.9,455,31.21,5367,2.65,100,0.7,,
3920,남양유업 ,432000,-7500,-1.71,,,970716,0.45,1000,0.23,,
3925,남양유업우 ,224000,2000,0.9,,,,,1050,0.47,,
3960,사조대림 ,25900,-100,-0.38,4602,5.63,39002,0.66,200,0.77,,
4000,롯데정밀화학 ,80400,-1100,-1.35,7805,10.3,63942,1.26,1500,1.87,,
4020,현대제철 ,40500,-500,-1.22,,,122488,0.33,500,1.23,,
4060,SG세계물산 ,666,14,2.15,,,969,0.69,0,0,,
4080,신흥 ,16100,0,0,1302,12.37,9573,1.68,200,1.24,,
4090,한국석유 ,11350,150,1.34,546,20.79,11418,0.99,83,0.73,,
4100,태양금속 ,1415,-20,-1.39,,,2467,0.57,5,0.35,,
4105,태양금속우 ,2620,10,0.38,,,,,10,0.38,,
4140,동방 ,3955,95,2.46,363,10.9,2763,1.43,0,0,,
4150,한솔홀딩스 ,3670,-10,-0.27,1695,2.17,11972,0.31,120,3.27,,
4170,신세계 ,226500,-2500,-1.09,,,349650,0.65,1500,0.66,,
4250,NPC ,6740,-270,-3.85,449,15.01,7011,0.96,100,1.48,,
4255,NPC우 ,3260,-10,-0.31,,,,,105,3.22,,
4270,남성 ,3435,-70,-2,,,2095,1.64,35,1.02,,
4310,현대약품 ,5280,-60,-1.12,80,66,2817,1.87,43,0.81,,
4360,세방 ,11850,50,0.42,1436,8.25,36981,0.32,190,1.6,,
4365,세방우 ,7220,40,0.56,,,,,195,2.7,,
4370,농심 ,292000,-500,-0.17,25682,11.37,334382,0.87,4000,1.37,,
4380,삼익THK ,11400,-100,-0.87,215,53.02,9046,1.26,150,1.32,,
4410,서울식품 ,304,-2,-0.65,,,78,3.9,0,0,,
4415,서울식품우 ,4040,-20,-0.49,,,,,0,0,,
4430,송원산업 ,19000,-100,-0.52,1144,16.61,19113,0.99,120,0.63,,
4440,삼일씨엔에스 ,9450,0,0,,,21785,0.43,0,0,,
4450,삼화왕관 ,42100,-550,-1.29,819,51.4,66914,0.63,1250,2.97,,
4490,세방전지 ,81000,-400,-0.49,4916,16.48,79003,1.03,500,0.62,,
4540,깨끗한나라 ,4370,-40,-0.91,1023,4.27,5765,0.76,100,2.29,,
4545,깨끗한나라우 ,21750,-150,-0.68,,,,,110,0.51,,
4560,현대비앤지스틸 ,15850,-150,-0.94,1553,10.21,28211,0.56,100,0.63,,
4565,현대비앤지스틸우 ,75400,-100,-0.13,,,,,150,0.2,,
4590,한국가구 ,6650,-230,-3.34,617,10.78,7783,0.85,135,2.03,,
4650,창해에탄올 ,13650,-50,-0.36,1705,8.01,14242,0.96,600,4.4,,
4690,삼천리 ,88800,-100,-0.11,9248,9.6,317378,0.28,3000,3.38,,
4700,조광피혁 ,55500,-500,-0.89,5532,10.03,47356,1.17,300,0.54,,
4710,한솔테크닉스 ,6300,-30,-0.47,834,7.55,8683,0.73,0,0,,
